koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
FALSE POSITIVE,1,0,0,0,409.2452,265.2465,0.0176,13.06,531.2,2.1,244,0.84,12.8,1,5910,4.466,0.911,289.90698,42.0462,15.42
CONFIRMED,0,0,0,0,6.94245216,135.95819,0.485,3.491,160.8,1.34,1003,239.39,14.7,1,6108,4.466,1.03,292.15866,49.63776,15.158
CANDIDATE,0,0,0,0,5.53312006,132.1648,0.299,3.486,53.1,1.05,1303,680.77,13.4,1,6170,4.15,1.425,293.68127,41.611969,13.591
FALSE POSITIVE,1,0,0,0,200.721168,280.0733,0.234,9.91,822.5,3.32,327,2.72,13.1,1,5566,4.275,1.17,288.90952,51.930561,15.511
CONFIRMED,0,0,0,0,9.4061364,137.7073,0.397,4.882,79.5,1.14,981,219.36,13.2,1,5855,4.24,1.268,292.67773,49.66391,14.09
FALSE POSITIVE,0,1,0,0,1.489457454,131.99809,0.171,3.028,56.3,1.58,2415,8026.6,29.7,1,6316,3.908,2.087,284.69278,44.010208,13.09
FALSE POSITIVE,0,0,1,0,1.181165291,132.42522,0.632,1.013,370.4,1.52,1398,905.88,14.1,1,5203,4.582,0.747,291.34879,51.256119,15.971
CONFIRMED,0,0,0,0,66.373298,174.01595,0.021,8.559,415,1.99,471,11.59,13.7,1,6143,4.47,0.976,285.5575,49.33007,15.37
CONFIRMED,0,0,0,0,13.61165024,144.16808,0.112,7.617,95.5,1.46,958,198.73,31.6,2,6170,4.192,1.499,289.92145,46.74456,12.805
CANDIDATE,0,0,0,0,17.7189786,138.8021,0.05,4.102,176.8,1.44,713,61.01,9.7,2,5566,4.329,1.099,294.69406,45.86684,15.246
CANDIDATE,0,0,0,0,6.24564633,137.16241,0.594,2.459,212,1.06,731,67.62,11.9,1,4858,4.622,0.707,287.96814,46.470612,15.485
FALSE POSITIVE,0,1,1,1,0.945829261,132.09286,0.326,1.715,98.2,0.86,1790,2433.01,15.1,1,5959,4.546,0.859,292.01379,42.28875,15.263
FALSE POSITIVE,0,0,1,0,0.973160836,132.25412,0.034,0.864,138.3,1.22,1932,3303.84,9.8,1,6108,4.466,1.03,294.86813,44.283199,15.238
FALSE POSITIVE,0,0,0,1,4.05943749,133.1883,0.914,3.245,105.4,2.11,1295,664.54,18.1,1,5051,3.978,1.655,290.63043,44.565601,13.514
CANDIDATE,0,0,0,0,4.72519164,131.9997,0.6,3.751,98.8,3.98,2250,6060.79,10,2,6655,3.49,3.831,295.1442,38.799831,12.358
FALSE POSITIVE,0,0,0,1,6.39903778,134.7133,0.241,3.15,186.6,6.54,1780,2376.4,24.1,1,5178,3.286,4.856,283.47574,41.775318,13.507
CANDIDATE,0,0,0,0,66.6434565,170.08058,0.985,2.385,277.3,2.99,476,12.17,14.8,1,5751,4.339,1.164,290.9227,48.180328,13.224
FALSE POSITIVE,0,1,1,1,0.739761008,131.80913,1.2359,7.589,292.1,9.67,839,117.05,34.7,1,3417,4.9,0.35,292.69855,37.778481,15.049
FALSE POSITIVE,0,0,1,0,0.950735805,131.7794,0.57,1.1434,175.1,1.39,1908,3129.59,17.1,1,6039,4.478,1.005,282.92773,42.80608,15.156
FALSE POSITIVE,0,1,1,1,2.17815935,132.02414,0.503,1.839,116.3,1.22,1561,1398.42,14.1,1,6258,4.413,1.098,287.96655,46.33849,14.975
CANDIDATE,0,0,0,0,160.850075,144.5039,0.769,9.427,428.1,3.41,413,6.87,16.1,2,5999,4.168,1.507,294.94983,38.60519,14.218
FALSE POSITIVE,1,0,1,0,0.720460644,132.012909,1.272,1.7846,2111.5,37.33,2240,5954.82,117.2,2,6304,4.435,1.058,297.72214,48.710258,14.828
FALSE POSITIVE,0,0,1,0,3.7948721,134.40039,1.168,1.713,305.1,16.1,1083,325.63,11.3,1,5883,4.58,0.793,295.19568,48.567421,15.302
CANDIDATE,0,0,0,0,122.0804953,155.02532,0.957,4.054,799.9,2.92,297,1.83,23.3,3,5132,4.571,0.77,284.96851,42.079201,14.157
CANDIDATE,0,0,0,0,6.2614227,133.2299,0.069,4.779,51.4,0.81,1146,407.58,10.6,2,6384,4.361,1.121,288.09564,40.365971,13.973
CANDIDATE,0,0,0,0,14.7510068,141.1622,0.75,2.25,381.1,1.7,629,36.94,9.5,3,5295,4.548,0.8,295.90503,45.40543,15.85
FALSE POSITIVE,1,0,0,0,0.638437699,131.592552,0.904,0.3028,286.8,2.48,1709,2024.34,25.8,1,5073,4.571,0.824,294.63989,50.33419,15.23
CANDIDATE,0,0,0,0,19.8751355,148.3935,0.919,8.041,109,2.49,1061,299.47,15.2,1,6918,4.021,2.004,297.16089,40.042858,13.543
FALSE POSITIVE,0,0,1,1,3.47148164,133.7138,0.719,4.679,122.7,0.85,970,209.73,9.5,1,5297,4.626,0.716,290.84921,38.63184,15.795
CANDIDATE,0,0,0,0,5.94373492,135.25897,0.197,1.847,301,1.14,674,48.82,13.2,1,4391,4.598,0.682,294.62097,49.89415,15.583
CONFIRMED,0,0,0,0,85.7567919,162.71914,0.713,5.695,159.1,2.99,528,18.44,16.9,1,5037,3.783,2.213,287.13489,47.488621,12.429
FALSE POSITIVE,0,1,1,0,3.1339356,133.5458,0.768,4.477,203.7,1.58,1315,704.95,21.4,1,6137,4.46,1.018,294.11237,46.252708,15.725
CONFIRMED,0,0,0,0,2.55315031,132.44849,0.32,1.849,185.3,1.25,1312,699.7,15.4,1,5970,4.521,0.908,293.74326,45.761589,15.424
CONFIRMED,0,0,0,0,2.936587946,133.03618,0.863,1.8952,279.6,1.77,1190,473.18,20.1,1,5455,4.421,0.909,290.74432,43.26078,15.404
CANDIDATE,0,0,0,0,145.786556,215.0441,0.133,4.891,378,1.82,331,2.84,13.9,1,5578,4.44,0.95,285.66006,46.143471,14.41
FALSE POSITIVE,0,0,1,1,1.33254212,132.0554,0.662,3.848,37.4,1.45,2694,12477.61,10.6,1,6613,3.87,2.237,294.71292,46.576221,13
CANDIDATE,0,0,0,0,2.5093344,133.1123,0.019,1.833,184.3,1.47,1483,1143.04,8.4,1,6278,4.425,1.081,295.37204,38.897739,15.588
FALSE POSITIVE,1,0,1,0,0.918921494,131.68016,0.011,0.9425,321,1.49,1697,1960.12,23.7,1,5655,4.561,0.833,298.29953,44.78899,15.606
FALSE POSITIVE,0,1,0,0,12.4285576,133.7175,0.892,13.98,620.1,2.22,669,47.26,13.2,1,5492,4.604,0.752,300.56305,43.980068,15.663
FALSE POSITIVE,0,0,1,0,1.275511306,132.44654,0.011,1.889,69.3,0.84,1739,2160.97,10.3,1,5921,4.418,1.015,298.01016,43.37159,15.083
CANDIDATE,0,0,0,0,24.5607107,146.7938,0.374,8.679,55.2,1.13,787,90.55,14.9,4,6170,4.192,1.499,289.92145,46.74456,12.805
CONFIRMED,0,0,0,0,2.94648935,132.42208,0.01,3.155,57,0.89,1497,1187.5,12.7,1,6481,4.378,1.171,288.16397,42.481079,14.144
FALSE POSITIVE,0,0,1,0,1.227986164,131.84491,0.477,1.551,150.5,1.17,1673,1846.47,14.8,1,5746,4.435,0.931,300.23093,46.0452,14.966
FALSE POSITIVE,0,0,1,1,2.11548883,132.00942,0.505,4.008,169.5,1.29,1426,978.38,17.6,1,5952,4.489,0.971,287.18967,38.42382,15.627
FALSE POSITIVE,0,0,1,1,2.17815196,132.02208,0.32,2.445,245,1.09,1139,395.98,17.9,1,5357,4.634,0.7,287.96875,46.301659,15.916
FALSE POSITIVE,1,0,1,0,342.315407,157.0157,0.1974,12.476,719.7,3.15,304,2.03,13.3,2,6425,4.373,1.164,298.05338,40.210739,15.091
FALSE POSITIVE,0,0,1,1,1.089077224,132.02477,0.206,2.705,152.7,1,1458,1068.22,18.7,1,5118,4.547,0.83,287.98569,46.3484,15.472
FALSE POSITIVE,0,1,1,1,1.288066288,133.273187,1.378,6.4616,10083,34.84,1310,692,230.7,1,5233,4.625,0.639,291.24866,40.221352,15.313
CANDIDATE,0,0,0,0,24.6683831,136.633,0.751,8.556,109.2,1.76,788,91.32,15.3,1,6059,4.151,1.554,290.48007,51.965012,13.572
CONFIRMED,1,0,0,0,6.98472143,135.99731,0.451,2.724,90.7,1.19,1059,297.15,11.7,1,5839,4.279,1.227,289.07397,40.366009,13.382
FALSE POSITIVE,1,0,0,0,349.41047,241.4685,0.2791,15.02,652.8,2.41,253,0.97,17.7,1,5878,4.512,0.945,285.85315,44.57222,15.346
FALSE POSITIVE,0,0,0,1,0.93373458,131.53478,0.574,4.364,127.7,0.93,1573,1446.48,27.8,1,5335,4.577,0.804,292.91196,47.47504,14.76
FALSE POSITIVE,0,0,0,1,1.33251948,132.0885,0.402,3.733,233.7,1.64,1751,2218.21,17.7,1,5926,4.381,1.058,294.54642,46.50787,16.334
CANDIDATE,0,0,0,0,14.8162925,138.3761,0.857,4.973,108.2,1.57,912,163.33,12.5,1,6356,4.27,1.325,293.93832,45.719021,12.583
FALSE POSITIVE,0,1,1,0,160.4122022,262.40022,0.903,4.92,2538,4.45,270,1.26,24.4,1,5269,4.62,0.727,293.20773,41.698582,15.407
CONFIRMED,0,0,0,0,4.34195312,134.18767,0.118,2.598,73.3,0.94,1236,552.7,10.6,1,6164,4.378,1.09,288.46909,46.78368,13.874
CANDIDATE,0,0,0,0,7.298142,137.85674,0.411,3.024,370.5,1.6,786,90.04,13.6,2,5119,4.508,0.834,291.39938,38.78775,15.825
CANDIDATE,0,0,0,0,18.5010898,149.17569,0.719,3.179,421.1,1.62,555,22.4,14.7,1,5242,4.613,0.734,284.9725,44.567551,15.789
CANDIDATE,0,0,0,0,7.016016,133.9561,0.89,3.8,169,1.72,1138,396.43,6.3,1,6642,4.39,1.136,294.63516,40.322128,14.404
FALSE POSITIVE,0,1,1,0,0.569961046,131.80273,0.343,1.446,44.2,1.04,2743,13463.04,18.9,1,5814,4.066,1.549,298.46341,48.32185,13.333
CANDIDATE,0,0,0,0,42.068554,165.0211,0.022,5.723,186.3,1.32,541,20.28,9.8,2,6122,4.487,0.964,292.31601,42.626251,14.718
CANDIDATE,0,0,0,0,1.121634781,132.31311,0.409,1.155,71.5,0.6,1225,529.9,14.8,1,4518,4.589,0.72,288.44305,42.45676,13.958
FALSE POSITIVE,0,0,1,1,1.33256979,132.05279,0.207,3.293,104.2,0.97,1692,1943.76,18.4,1,6089,4.495,0.95,295.19983,46.731731,15.377
CANDIDATE,0,0,0,0,6.23968392,133.72124,0.679,0.668,155.9,1.55,1060,299.03,9,1,5751,4.303,1.143,286.35339,44.961182,13.795
CONFIRMED,0,0,0,0,3.60082855,134.037,0.395,1.938,296.3,1.36,927,174.45,17.9,1,4838,4.524,0.796,285.17334,48.770039,15.311
CANDIDATE,0,0,0,0,3.59645081,132.77209,0.781,2.661,149.6,1.66,1327,732.82,16.2,2,5887,4.292,1.235,293.98871,46.718021,15.147
CANDIDATE,0,0,0,0,20.6579443,145.6348,0.188,8.798,98.2,1.27,728,66.27,14.1,1,5468,4.171,1.306,290.49988,40.287689,14.216
FALSE POSITIVE,0,0,1,1,0.760941405,131.62978,0.26,1.773,186.6,1.18,1817,2591.44,15.2,1,5629,4.553,0.87,296.47104,51.215221,15.855
FALSE POSITIVE,1,0,0,0,137.665706,240.44616,0.041,3.732,536.9,15.41,720,63.38,11.7,1,4832,2.953,6.897,288.05292,38.93792,13.199
FALSE POSITIVE,0,0,0,1,1.54038914,132.00494,0.043,1.683,71.8,0.84,1638,1701.3,9.1,1,5974,4.422,0.989,285.47534,38.099361,14.753
FALSE POSITIVE,0,1,0,0,71.76236302,170.095082,0.052,29.435,8591.9,25.76,665,46.35,1134.3,1,5529,3.685,2.817,292.13428,46.202419,12.045
CANDIDATE,0,0,0,0,16.3368863,132.20816,0.066,3.597,225.9,1.27,642,40.22,12.1,1,5410,4.49,0.859,293.13098,38.159679,15.05
CANDIDATE,0,0,0,0,1.63668262,131.64586,1.22,1.907,921.7,103.99,2562,10160.3,12.9,1,5234,3.436,3.739,300.92484,44.24968,16.494
CANDIDATE,0,0,0,0,11.615625,131.96843,0.977,2.233,191.2,2.84,905,158.69,8.8,2,5332,4.083,1.453,293.52756,41.111439,15.162
CANDIDATE,0,0,0,0,6.08003714,136.88262,0.254,1.308,184,1.07,808,100.72,17.7,1,4991,4.513,0.804,281.89813,42.28587,13.473
FALSE POSITIVE,0,1,1,0,2.21316437,132.71281,0.672,3.874,116.1,0.95,1374,841.98,27.9,1,5921,4.465,0.83,292.96982,45.905579,14.4
CANDIDATE,0,0,0,0,173.2578372,194.4584,1.9038,2.027,687,117.29,376,4.73,13.5,1,6392,4.399,1.162,283.72552,45.676849,14.201
CONFIRMED,0,0,0,0,6.30558387,131.53058,0.601,2.619,193.1,2.52,1125,378.9,9.5,1,4934,3.927,1.756,292.95526,47.573101,15.056
CANDIDATE,0,0,0,0,41.6757509,169.791,0.256,10.848,142,2.1,690,53.72,22.6,1,5745,3.957,1.763,295.1333,43.631432,13.34
FALSE POSITIVE,0,0,1,1,8.4803326,135.8598,0.556,5.918,35.6,1.35,1390,882.07,11,1,6245,3.826,2.179,298.82495,46.713531,12.797
CANDIDATE,0,0,0,0,0.609926502,131.80347,0.24,1.2529,133.8,1.12,2141,4990.14,15.3,1,5936,4.501,0.965,290.39172,43.440338,15.682
FALSE POSITIVE,1,0,0,1,0.750744255,132.18261,1.154,1.7921,170.6,17.07,2074,4387.1,50.4,2,6187,4.499,0.937,293.80884,48.36562,13.941
CONFIRMED,0,0,0,0,0.991659646,131.53686,0.765,2.215,77.3,1.19,2102,4614.18,13.5,1,6117,4.315,1.244,294.4418,40.571678,14.978
FALSE POSITIVE,0,0,1,0,118.609553,172.0788,0.993,22.74,380.9,2.86,299,1.88,13.1,1,5017,4.531,0.792,297.83713,42.079369,15.133
CANDIDATE,0,0,0,0,1.62888267,132.33899,0.147,1.72,130.9,0.92,1327,733.67,12.5,1,5398,4.571,0.811,299.27658,44.291981,15.295
FALSE POSITIVE,1,0,0,0,0.616386349,131.64315,0.226,0.8136,79.4,2.94,3552,37463.63,21.9,1,5665,3.58,3.266,299.41986,47.562832,12.985
CANDIDATE,0,0,0,0,1.920062587,131.72678,0.387,1.437,226.8,1.12,1189,471.84,12.6,1,5266,4.611,0.741,287.84,38.255489,15.686
FALSE POSITIVE,0,0,1,0,7.07162308,136.46253,0.331,2.587,123,1.42,1162,431.05,16.9,1,6313,4.24,1.259,293.29227,38.2118,13.722
CANDIDATE,0,0,0,0,6.96352699,133.01717,0.09,3.192,68.1,1.4,1298,669.78,17.4,1,6040,3.978,1.686,296.10406,42.34259,13.128
CONFIRMED,0,0,0,0,64.2729088,186.7353,0.908,12.136,1213.9,5.38,554,22.31,27.4,1,6341,4.278,1.299,294.45569,46.743561,15.589
CONFIRMED,0,0,0,0,3.4327371,132.92055,0.703,4.001,63.2,0.75,1134,390.57,15.3,1,5757,4.536,0.881,288.57358,51.472752,13.583
FALSE POSITIVE,0,1,1,0,13.8452726,136.9596,0.566,2.555,93.2,2.34,1276,626.93,10.4,1,6845,3.89,2.324,292.47888,38.657921,12.632
CANDIDATE,0,0,0,0,0.909127736,132.40471,0.098,1.431,98.7,0.98,1818,2566.87,13.9,1,5486,4.389,0.996,290.01245,41.089989,15.195
CONFIRMED,0,0,0,0,1.450889836,132.2306,0.333,1.753,135.7,1.21,1700,1970.75,15.7,1,6046,4.423,1.023,288.302,47.775551,15.369
CONFIRMED,0,0,0,0,5.72716067,133.96409,0.447,2.23,310.9,1.4,794,93.96,16,3,4838,4.524,0.796,285.17334,48.770039,15.311
CANDIDATE,0,0,0,0,10.30148508,134.88185,0.445,3.903,162.7,1.6,934,180.14,12.6,3,5887,4.292,1.235,293.98871,46.718021,15.147
CANDIDATE,0,0,0,0,1.717859841,132.92612,0.35,0.908,66.3,1.45,2212,5645.85,9.5,1,6694,4.084,1.732,290.81366,40.254875,13.228
FALSE POSITIVE,0,0,1,0,0.447861451,131.9752,0.427,0.8541,265.4,1.42,2263,6221.08,20.3,1,5901,4.553,0.848,294.48499,38.352859,15.497
CANDIDATE,0,0,0,0,7.3422467,131.55382,0.253,2.029,366.8,1.6,837,115.93,11.8,1,5573,4.562,0.839,295.21127,41.086971,15.486
CONFIRMED,0,0,0,0,3.036208739,134.06146,0.111,0.9324,1820.5,1.4,520,17.31,26,2,3464,4.923,0.328,282.25021,44.921108,16.257
CONFIRMED,0,0,0,0,18.0541469,147.7943,0.175,4.587,283.1,1.51,635,38.57,19.3,1,5505,4.501,0.909,290.58612,46.642689,15.004
CANDIDATE,0,0,0,0,5.4675514,133.42478,0.27,3.283,87.2,1.07,1078,319.36,10.4,2,5557,4.288,1.151,288.58835,42.605659,14.746
FALSE POSITIVE,0,1,1,0,1.01530474,131.517946,1.245,8.7622,16445,64.77,2324,6918.45,1823,1,6428,4.226,1.44,295.88568,39.31599,13.647
CANDIDATE,0,0,0,0,94.180473,200.2662,0.955,7.345,1104.4,4.17,478,12.34,15.6,1,6997,4.475,1,293.20139,45.454399,14.848
CONFIRMED,0,0,0,0,1.538185321,132.49067,0.7,1.683,277.2,1.29,1234,547.92,15.2,1,5107,4.615,0.723,297.95297,40.806808,15.329
FALSE POSITIVE,0,0,1,1,1.089076495,132.02703,0.597,2.274,43.7,0.75,2016,3923.24,15.3,1,6444,4.416,1.079,288.09009,46.322948,13.938
FALSE POSITIVE,0,0,1,0,1.662710314,132.44469,0.577,1.83,85.9,2.16,2307,6700.6,23.8,1,6028,3.842,2.244,296.20578,44.660446,13.97
FALSE POSITIVE,0,1,1,0,0.888478095,131.86943,0.452,1.5312,340.4,1.51,1665,1825.96,24.6,1,5553,4.577,0.806,291.06168,51.404781,15.85
FALSE POSITIVE,0,0,1,1,2.18242002,132.39594,0.721,4.103,69.7,0.7,1283,638.12,13.8,1,5808,4.583,0.786,293.42361,42.917641,14.897
FALSE POSITIVE,0,1,0,0,0.503999678,131.631544,0.962,0.5421,975.6,2.97,1605,1566.41,96.8,1,4898,4.686,0.568,293.95221,45.31826,15.498
FALSE POSITIVE,0,0,1,1,2.66588544,131.6037,0.276,5.004,167,0.98,1041,278.03,17.2,1,4965,4.536,0.771,291.98572,45.211441,15.382
CONFIRMED,0,0,0,0,7.61758198,137.50008,0.234,3.545,85.4,1,1020,255.32,13.4,1,6202,4.401,1.072,291.40781,48.017891,14.11
CANDIDATE,0,0,0,0,42.1003351,143.02827,0.88,1.0834,214,1.42,466,11.17,13.9,1,5595,4.57,0.82,282.12888,44.303162,11.965
CONFIRMED,0,0,0,0,2.20923119,131.90288,0.11,2.392,59.8,0.84,1507,1217.79,14.3,1,5991,4.375,1.092,285.51294,38.079739,13.764
CANDIDATE,0,0,0,0,5.88350251,136.9451,0.362,2.556,217.7,1.27,949,192.09,11.9,1,5840,4.553,0.849,298.00293,43.35461,15.741
FALSE POSITIVE,0,0,1,0,1.182862515,131.97137,0.284,2.928,22.3,1.26,2800,14544.87,16.5,1,6017,3.699,2.639,283.85291,45.48526,12.638
CANDIDATE,0,0,0,0,2.20829637,131.63091,0.205,2.841,87.9,1.36,1709,2016.25,12,1,6028,4.189,1.454,293.5423,43.0261,15.201
CONFIRMED,0,0,0,0,0.849906734,131.6741,0.64,1.141,124.3,0.59,1139,396.64,12,1,4296,4.733,0.505,293.28802,43.514992,15.22
CANDIDATE,0,0,0,0,26.6565737,131.59433,0.686,4.954,163.4,4.15,903,157.45,18.8,1,5159,3.604,3.062,293.79684,45.160728,13.263
FALSE POSITIVE,1,0,0,0,4.4408541,135.2744,0.005,8.083,33.9,1.74,1642,1719.2,12,2,5159,3.604,3.062,293.79684,45.160728,13.263
CONFIRMED,0,0,0,0,8.18504859,134.554,0.601,4.673,97.6,0.93,892,149.41,12.5,1,5984,4.521,0.906,296.51666,44.608608,14.686
FALSE POSITIVE,0,1,0,0,10.78438513,141.40685,1.18,1.408,233.6,75.04,1397,900.7,15.6,1,5575,3.516,3.515,299.20667,45.64547,13.638
CONFIRMED,0,0,0,0,10.42317343,135.15208,0.811,2.341,71.2,1.07,901,155.7,11.2,2,5767,4.287,1.135,288.66077,43.36808,13.455
FALSE POSITIVE,1,0,0,1,0.566804221,131.82656,0.536,4.639,166,0.85,1737,2149.42,31,1,5277,4.625,0.64,291.58682,42.827621,15.776
FALSE POSITIVE,0,0,1,0,2.022658,131.838,0.419,3.343,135.7,1.15,1482,1139.1,17.4,1,6091,4.487,0.967,293.6228,41.966492,15.572
CANDIDATE,0,0,0,0,1.8679943,133.22986,0.173,1.087,73.4,0.7,1291,658.77,10,1,5487,4.568,0.815,290.88486,39.115921,14.185
CANDIDATE,0,0,0,0,8.9172863,139.6051,0.062,4.468,196.3,1.39,931,177.84,7.2,1,6210,4.467,0.986,296.896,48.04726,14.671
FALSE POSITIVE,0,1,1,0,0.519437968,131.78909,1.172,2.129,226.2,20.48,2402,7822.62,25.4,1,6181,4.464,1.006,299.08536,40.774529,15.421
CANDIDATE,0,0,0,0,1.33807075,132.34756,0.003,1.425,20.2,0.6,2008,3844.97,8.5,1,6355,4.299,1.319,301.15656,44.379532,11.179
FALSE POSITIVE,0,1,0,1,1.105095798,132.55178,0.295,2.624,141.7,0.89,1445,1025.9,17.4,1,5296,4.604,0.752,293.82782,48.054241,15.815
FALSE POSITIVE,1,0,0,0,10.2239787,135.4415,0.439,1.814,213.5,24.43,2364,7383.41,6.5,1,4673,2.412,16.823,286.77161,39.266941,13.188
CANDIDATE,0,0,0,0,56.4148314,163.128,0.908,8.075,480.1,2.9,535,19.37,16.4,3,6325,4.409,1.112,294.33847,50.33654,15.212
FALSE POSITIVE,1,0,0,0,2.18079098,132.39262,0.74,12.13,83.2,3.29,2767,13876.96,69.3,1,6911,3.661,3.339,286.04739,38.979851,10.008
CONFIRMED,0,0,0,0,13.0600399,144.33107,0.495,2.851,106.8,0.8,630,37.3,12.5,2,5168,4.566,0.769,291.62878,41.208599,13.942
FALSE POSITIVE,0,0,1,0,0.641069613,132.14101,0.061,1.033,78.6,0.86,2196,5512.38,10.5,1,6077,4.451,0.961,299.60825,41.268341,14.098
FALSE POSITIVE,0,1,0,0,1.21475168,131.7581,0.461,6.93,266.1,5.5,3302,28091.85,7.9,1,6732,3.632,3.276,299.08658,45.776821,11.464
CANDIDATE,0,0,0,0,17.3731821,138.28747,0.227,3.36,71.7,1.31,901,155.73,14,1,6180,4.155,1.54,294.20984,46.479969,12.677
CONFIRMED,0,0,0,0,27.4784659,148.6101,0.008,7.5,83.2,1.52,736,69.3,12.3,1,5432,3.993,1.707,287.93719,46.418491,13.63
FALSE POSITIVE,0,0,1,1,1.30627214,132.0858,0.57,5.144,95.4,0.87,1490,1161.23,10.3,1,5513,4.543,0.862,294.99649,39.629921,15.762
FALSE POSITIVE,0,1,0,1,0.933732791,131.53707,0.022,3.056,96.9,0.9,1773,2344.56,13.8,1,5496,4.405,0.927,291.61646,48.775639,14.812
CANDIDATE,0,0,0,0,3.3879165,133.93645,0.117,1.818,78.6,1.09,1336,750.6,10.4,1,5702,4.247,1.245,293.28015,46.560089,14.491
FALSE POSITIVE,1,0,0,1,1.42856815,132.81461,0.3097,2.132,59.5,0.64,1547,1352.91,11.8,1,5979,4.557,0.822,290.44476,48.462891,14.766
FALSE POSITIVE,1,0,0,1,359.08368,415.3834,1.262,15.67,618.7,29.15,268,1.23,10.8,1,6256,4.493,0.932,291.18927,38.731159,15.145
FALSE POSITIVE,0,0,1,1,3.74784374,134.19157,0.093,3.658,116.5,1.08,1226,534.57,12.8,1,6122,4.471,0.996,290.97906,50.258148,15.13
CANDIDATE,0,0,0,0,64.740274,149.9922,0.74,15.082,113.1,1.35,518,16.96,16.4,1,5999,4.263,1.177,286.77313,39.277531,13.219
CANDIDATE,0,0,0,0,5.38299284,136.239,0.417,3.336,35.1,0.78,1253,582.98,10.7,1,6256,4.27,1.293,299.09537,43.439098,12.642
FALSE POSITIVE,0,0,1,1,1.71028117,131.62619,0.372,2.61,111.6,0.91,1454,1055.42,13.8,1,5910,4.55,0.855,292.68515,41.905918,15.422
CANDIDATE,0,0,0,0,2.0481582,132.17679,0.179,1.899,183.3,1.16,1346,773.92,11.7,1,5799,4.548,0.86,292.02621,41.984119,15.98
CANDIDATE,0,0,0,0,140.251943,175.137,0.323,6.576,567.7,1.84,271,1.28,11.9,1,4821,4.529,0.788,296.45776,41.266022,15.429
CANDIDATE,0,0,0,0,14.7179342,135.6498,0.704,5.844,132.3,1.25,784,89.3,12.7,1,6102,4.449,1.018,295.09201,49.940079,14.654
FALSE POSITIVE,1,0,0,1,0.909314811,131.72281,0.722,2.2053,40.5,0.99,2503,9311.68,30.2,1,6508,4.163,1.447,292.61426,41.437229,12.73
CONFIRMED,0,0,0,0,207.24785,213.03458,0.21,6.159,809.2,1.56,189,0.3,13.2,1,4339,4.711,0.553,284.56689,49.01255,15.142
CANDIDATE,0,0,0,0,5.99078221,134.53899,0.944,1.699,69.9,1.03,987,223.93,8.6,1,5721,4.442,0.972,299.3028,41.441017,10.884
FALSE POSITIVE,0,0,1,0,14.0801852,137.3331,0.308,3.402,90.7,1.04,798,95.62,6.9,1,5984,4.421,1.089,290.27658,41.269341,12.966
FALSE POSITIVE,0,0,1,0,2.440839436,133.8407,1.253,0.968,509.5,21.29,986,223.8,14.4,1,4803,4.623,0.698,297.05902,49.4785,15.877
CANDIDATE,0,0,0,0,19.2527652,144.2659,0.028,4.862,138.5,1.24,740,71.04,10.8,1,6258,4.442,1.046,288.70859,46.018188,14.851
FALSE POSITIVE,0,0,1,0,3.28931936,133.90141,1.422,1.921,166,50.51,1364,818.01,11.1,1,6335,4.427,1.072,296.06665,39.938011,14.806
FALSE POSITIVE,0,0,0,1,1.08195208,131.5252,0.257,4.807,33.6,0.47,1526,1275.68,12.4,1,5233,4.489,0.824,299.0098,46.684738,13.881
FALSE POSITIVE,0,1,1,1,0.512583041,131.77571,0.116,1.498,114.3,1.07,2363,7320.09,17.1,1,6077,4.471,0.999,295.46341,46.01123,15.484
CANDIDATE,0,0,0,0,2.29794819,131.49826,0.108,2.84,83.2,0.98,1547,1352.14,12.2,1,6371,4.426,1.072,294.69696,46.720188,15.079
CONFIRMED,0,0,0,0,4.54586982,131.52442,0.563,1.756,76.5,0.65,868,134.21,24.4,4,5051,4.562,0.721,289.75229,41.634605,8.717
CANDIDATE,0,0,0,0,3.48754109,134.16018,0.32,1.811,85.1,0.72,988,224.74,7.3,1,5252,4.593,0.783,292.02829,43.946362,14.371
CANDIDATE,0,0,0,0,8.0772455,132.649,0.984,7.272,79.2,2.61,1228,537.66,12.5,1,5684,3.915,2.032,293.43478,41.716881,14.579
FALSE POSITIVE,1,0,0,0,364.08733,287.6056,0.1702,14.09,372,1.39,211,0.47,8.8,1,5376,4.601,0.727,291.22043,43.574268,14.816
FALSE POSITIVE,0,0,1,0,21.5819776,146.0691,0.036,13.734,47.6,0.91,746,73.01,17.3,1,5601,4.144,1.342,289.61856,47.557968,11.981
CANDIDATE,0,0,0,0,91.95723,183.0248,0.015,10.471,308.4,2.66,497,14.41,12.3,1,5854,4.114,1.528,289.90417,38.651371,14.876
CANDIDATE,0,0,0,0,7.51731745,137.59704,0.256,2.484,170.7,1.19,861,129.74,10.7,1,5525,4.488,0.923,298.75836,41.631031,15.029
FALSE POSITIVE,0,0,1,0,3.08723626,132.90519,0.2516,2.615,101.9,1.2,1451,1046.77,12.1,1,6418,4.395,1.171,296.66855,43.540569,14.966
FALSE POSITIVE,0,1,1,0,0.592562969,131.9017,1.252,3.0869,1546.4,25.97,1967,3520.7,100.4,1,5728,4.575,0.804,291.91415,37.807819,15.784
